                                                    gpt2-011_run1-c  \
                                                    gpt2-101_run4-c  \
gpt2-901_run3-c                                            0.375283   
gpt2-011_run3-c                                            0.410283   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.404258   
gpt2-011_run4-c                                            0.423795   
gpt2-401_run2-c                                            0.287290   
gpt2-401_run1-c                                            0.397757   
sample_m25c_kristy_and_the_middle_school_vandal...         0.374117   
gpt2-401_run3-c                                            0.321275   
sample_004c_mary_anne_saves_the_day_2_240                  0.333305   
gpt2-101_run3-c                                            0.360718   

                                                    gpt2-101_run5-c  \
gpt2-901_run3-c                                            0.395328   
gpt2-011_run3-c                                            0.406094   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.403925   
gpt2-011_run4-c                                            0.335504   
gpt2-401_run2-c                                            0.342628   
gpt2-401_run1-c                                            0.353212   
sample_m25c_kristy_and_the_middle_school_vandal...         0.323612   
gpt2-401_run3-c                                            0.346150   
sample_004c_mary_anne_saves_the_day_2_240                  0.356710   
gpt2-101_run3-c                                            0.256626   

                                                    gpt2-201_run1-c  \
gpt2-901_run3-c                                            0.374843   
gpt2-011_run3-c                                            0.350788   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.335168   
gpt2-011_run4-c                                            0.289017   
gpt2-401_run2-c                                            0.406872   
gpt2-401_run1-c                                            0.350377   
sample_m25c_kristy_and_the_middle_school_vandal...         0.290284   
gpt2-401_run3-c                                            0.330012   
sample_004c_mary_anne_saves_the_day_2_240                  0.288904   
gpt2-101_run3-c                                            0.197803   

                                                    gpt2-201_run2-c  \
gpt2-901_run3-c                                            0.491080   
gpt2-011_run3-c                                            0.460159   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.510741   
gpt2-011_run4-c                                            0.438918   
gpt2-401_run2-c                                            0.414251   
gpt2-401_run1-c                                            0.487885   
sample_m25c_kristy_and_the_middle_school_vandal...         0.487692   
gpt2-401_run3-c                                            0.448002   
sample_004c_mary_anne_saves_the_day_2_240                  0.452188   
gpt2-101_run3-c                                            0.361896   

                                                    gpt2-201_run3-c  \
gpt2-901_run3-c                                            0.356954   
gpt2-011_run3-c                                            0.415590   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.328501   
gpt2-011_run4-c                                            0.355384   
gpt2-401_run2-c                                            0.282208   
gpt2-401_run1-c                                            0.253615   
sample_m25c_kristy_and_the_middle_school_vandal...         0.271450   
gpt2-401_run3-c                                            0.271312   
sample_004c_mary_anne_saves_the_day_2_240                  0.303951   
gpt2-101_run3-c                                            0.341759   

                                                    gpt2-201_run4-c  \
gpt2-901_run3-c                                            0.401965   
gpt2-011_run3-c                                            0.319761   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.353694   
gpt2-011_run4-c                                            0.241928   
gpt2-401_run2-c                                            0.428140   
gpt2-401_run1-c                                            0.361106   
sample_m25c_kristy_and_the_middle_school_vandal...         0.282498   
gpt2-401_run3-c                                            0.313230   
sample_004c_mary_anne_saves_the_day_2_240                  0.313905   
gpt2-101_run3-c                                            0.155757   

                                                    gpt2-201_run5-c  \
gpt2-901_run3-c                                            0.407790   
gpt2-011_run3-c                                            0.347909   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.411564   
gpt2-011_run4-c                                            0.311886   
gpt2-401_run2-c                                            0.347278   
gpt2-401_run1-c                                            0.420651   
sample_m25c_kristy_and_the_middle_school_vandal...         0.357542   
gpt2-401_run3-c                                            0.382751   
sample_004c_mary_anne_saves_the_day_2_240                  0.341205   
gpt2-101_run3-c                                            0.220106   

                                                    gpt2-301_run1-c  \
gpt2-901_run3-c                                            0.366560   
gpt2-011_run3-c                                            0.367770   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.383912   
gpt2-011_run4-c                                            0.409310   
gpt2-401_run2-c                                            0.268605   
gpt2-401_run1-c                                            0.388628   
sample_m25c_kristy_and_the_middle_school_vandal...         0.360828   
gpt2-401_run3-c                                            0.314475   
sample_004c_mary_anne_saves_the_day_2_240                  0.301950   
gpt2-101_run3-c                                            0.383288   

                                                    gpt2-301_run2-c  \
gpt2-901_run3-c                                            0.365038   
gpt2-011_run3-c                                            0.392230   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.330360   
gpt2-011_run4-c                                            0.337901   
gpt2-401_run2-c                                            0.328349   
gpt2-401_run1-c                                            0.288421   
sample_m25c_kristy_and_the_middle_school_vandal...         0.252775   
gpt2-401_run3-c                                            0.280938   
sample_004c_mary_anne_saves_the_day_2_240                  0.285456   
gpt2-101_run3-c                                            0.248698   

                                                    gpt2-301_run3-c  \
gpt2-901_run3-c                                            0.386410   
gpt2-011_run3-c                                            0.359861   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.377085   
gpt2-011_run4-c                                            0.270426   
gpt2-401_run2-c                                            0.391049   
gpt2-401_run1-c                                            0.374298   
sample_m25c_kristy_and_the_middle_school_vandal...         0.342194   
gpt2-401_run3-c                                            0.354211   
sample_004c_mary_anne_saves_the_day_2_240                  0.314631   
gpt2-101_run3-c                                            0.162878   

                                                    gpt2-301_run4-c  \
gpt2-901_run3-c                                            0.390072   
gpt2-011_run3-c                                            0.410740   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.344922   
gpt2-011_run4-c                                            0.275673   
gpt2-401_run2-c                                            0.359596   
gpt2-401_run1-c                                            0.313223   
sample_m25c_kristy_and_the_middle_school_vandal...         0.290923   
gpt2-401_run3-c                                            0.329157   
sample_004c_mary_anne_saves_the_day_2_240                  0.286870   
gpt2-101_run3-c                                            0.202681   

                                                    gpt2-301_run5-c  \
gpt2-901_run3-c                                            0.388131   
gpt2-011_run3-c                                            0.311930   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.332735   
gpt2-011_run4-c                                            0.277383   
gpt2-401_run2-c                                            0.368981   
gpt2-401_run1-c                                            0.363635   
sample_m25c_kristy_and_the_middle_school_vandal...         0.341485   
gpt2-401_run3-c                                            0.352252   
sample_004c_mary_anne_saves_the_day_2_240                  0.276893   
gpt2-101_run3-c                                            0.212709   

                                                    gpt2-401_run1-c  \
gpt2-901_run3-c                                            0.414374   
gpt2-011_run3-c                                            0.517296   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.299000   
gpt2-011_run4-c                                            0.404661   
gpt2-401_run2-c                                            0.375920   
gpt2-401_run1-c                                            0.000000   
sample_m25c_kristy_and_the_middle_school_vandal...         0.265152   
gpt2-401_run3-c                                            0.320525   
sample_004c_mary_anne_saves_the_day_2_240                  0.281618   
gpt2-101_run3-c                                            0.465579   

                                                    gpt2-401_run2-c  \
gpt2-901_run3-c                                            0.353900   
gpt2-011_run3-c                                            0.444581   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.445632   
gpt2-011_run4-c                                            0.513022   
gpt2-401_run2-c                                            0.000000   
gpt2-401_run1-c                                            0.375920   
sample_m25c_kristy_and_the_middle_school_vandal...         0.399764   
gpt2-401_run3-c                                            0.347893   
sample_004c_mary_anne_saves_the_day_2_240                  0.330729   
gpt2-101_run3-c                                            0.516503   

                                                    gpt2-401_run3-c  \
gpt2-901_run3-c                                            0.400433   
gpt2-011_run3-c                                            0.431704   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.353823   
gpt2-011_run4-c                                            0.424944   
gpt2-401_run2-c                                            0.347893   
gpt2-401_run1-c                                            0.320525   
sample_m25c_kristy_and_the_middle_school_vandal...         0.290226   
gpt2-401_run3-c                                            0.000000   
sample_004c_mary_anne_saves_the_day_2_240                  0.313532   
gpt2-101_run3-c                                            0.441192   

                                                    gpt2-401_run4-c  \
gpt2-901_run3-c                                            0.365026   
gpt2-011_run3-c                                            0.385914   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.346055   
gpt2-011_run4-c                                            0.355208   
gpt2-401_run2-c                                            0.295465   
gpt2-401_run1-c                                            0.302873   
sample_m25c_kristy_and_the_middle_school_vandal...         0.296619   
gpt2-401_run3-c                                            0.289617   
sample_004c_mary_anne_saves_the_day_2_240                  0.229984   
gpt2-101_run3-c                                            0.276715   

                                                    gpt2-401_run5-c  \
gpt2-901_run3-c                                            0.476713   
gpt2-011_run3-c                                            0.447239   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.373485   
gpt2-011_run4-c                                            0.397336   
gpt2-401_run2-c                                            0.366282   
gpt2-401_run1-c                                            0.378795   
sample_m25c_kristy_and_the_middle_school_vandal...         0.366065   
gpt2-401_run3-c                                            0.331857   
sample_004c_mary_anne_saves_the_day_2_240                  0.365503   
gpt2-101_run3-c                                            0.357577   

                                                    gpt2-501_run1-c  \
gpt2-901_run3-c                                            0.468625   
gpt2-011_run3-c                                            0.402770   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.441768   
gpt2-011_run4-c                                            0.401089   
gpt2-401_run2-c                                            0.333171   
gpt2-401_run1-c                                            0.422735   
sample_m25c_kristy_and_the_middle_school_vandal...         0.396230   
gpt2-401_run3-c                                            0.354212   
sample_004c_mary_anne_saves_the_day_2_240                  0.396445   
gpt2-101_run3-c                                            0.403887   

                                                    gpt2-501_run2-c  \
gpt2-901_run3-c                                            0.462317   
gpt2-011_run3-c                                            0.413343   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.411205   
gpt2-011_run4-c                                            0.395135   
gpt2-401_run2-c                                            0.335591   
gpt2-401_run1-c                                            0.353968   
sample_m25c_kristy_and_the_middle_school_vandal...         0.355810   
gpt2-401_run3-c                                            0.309507   
sample_004c_mary_anne_saves_the_day_2_240                  0.360888   
gpt2-101_run3-c                                            0.345686   

                                                    gpt2-501_run3-c  \
gpt2-901_run3-c                                            0.432906   
gpt2-011_run3-c                                            0.397082   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.405411   
gpt2-011_run4-c                                            0.344306   
gpt2-401_run2-c                                            0.357926   
gpt2-401_run1-c                                            0.378541   
sample_m25c_kristy_and_the_middle_school_vandal...         0.389845   
gpt2-401_run3-c                                            0.364340   
sample_004c_mary_anne_saves_the_day_2_240                  0.307319   
gpt2-101_run3-c                                            0.251113   

                                                    gpt2-501_run4-c  \
gpt2-901_run3-c                                            0.493388   
gpt2-011_run3-c                                            0.471245   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.407092   
gpt2-011_run4-c                                            0.414301   
gpt2-401_run2-c                                            0.372740   
gpt2-401_run1-c                                            0.375449   
sample_m25c_kristy_and_the_middle_school_vandal...         0.417195   
gpt2-401_run3-c                                            0.381046   
sample_004c_mary_anne_saves_the_day_2_240                  0.374651   
gpt2-101_run3-c                                            0.385829   

                                                    gpt2-501_run5-c  \
gpt2-901_run3-c                                            0.371186   
gpt2-011_run3-c                                            0.451096   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.300621   
gpt2-011_run4-c                                            0.338588   
gpt2-401_run2-c                                            0.312630   
gpt2-401_run1-c                                            0.225285   
sample_m25c_kristy_and_the_middle_school_vandal...         0.269021   
gpt2-401_run3-c                                            0.274372   
sample_004c_mary_anne_saves_the_day_2_240                  0.272818   
gpt2-101_run3-c                                            0.321016   

                                                    gpt2-601_run1-c  \
gpt2-901_run3-c                                            0.445305   
gpt2-011_run3-c                                            0.414384   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.433258   
gpt2-011_run4-c                                            0.312879   
gpt2-401_run2-c                                            0.403619   
gpt2-401_run1-c                                            0.441626   
sample_m25c_kristy_and_the_middle_school_vandal...         0.383780   
gpt2-401_run3-c                                            0.406324   
sample_004c_mary_anne_saves_the_day_2_240                  0.366643   
gpt2-101_run3-c                                            0.187049   

                                                    gpt2-601_run2-c  \
gpt2-901_run3-c                                            0.517321   
gpt2-011_run3-c                                            0.536094   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.452552   
gpt2-011_run4-c                                            0.462990   
gpt2-401_run2-c                                            0.361347   
gpt2-401_run1-c                                            0.401916   
sample_m25c_kristy_and_the_middle_school_vandal...         0.455855   
gpt2-401_run3-c                                            0.347890   
sample_004c_mary_anne_saves_the_day_2_240                  0.404759   
gpt2-101_run3-c                                            0.401512   

                                                    gpt2-601_run3-c  \
gpt2-901_run3-c                                            0.499938   
gpt2-011_run3-c                                            0.504359   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.504097   
gpt2-011_run4-c                                            0.543097   
gpt2-401_run2-c                                            0.306026   
gpt2-401_run1-c                                            0.413279   
sample_m25c_kristy_and_the_middle_school_vandal...         0.463396   
gpt2-401_run3-c                                            0.361700   
sample_004c_mary_anne_saves_the_day_2_240                  0.387409   
gpt2-101_run3-c                                            0.474110   

                                                    gpt2-601_run4-c  \
gpt2-901_run3-c                                            0.352470   
gpt2-011_run3-c                                            0.372683   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.347431   
gpt2-011_run4-c                                            0.297137   
gpt2-401_run2-c                                            0.317911   
gpt2-401_run1-c                                            0.343792   
sample_m25c_kristy_and_the_middle_school_vandal...         0.295462   
gpt2-401_run3-c                                            0.308881   
sample_004c_mary_anne_saves_the_day_2_240                  0.280403   
gpt2-101_run3-c                                            0.254031   

                                                    gpt2-601_run5-c  \
gpt2-901_run3-c                                            0.452177   
gpt2-011_run3-c                                            0.422593   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.430198   
gpt2-011_run4-c                                            0.389331   
gpt2-401_run2-c                                            0.333059   
gpt2-401_run1-c                                            0.394216   
sample_m25c_kristy_and_the_middle_school_vandal...         0.397664   
gpt2-401_run3-c                                            0.336848   
sample_004c_mary_anne_saves_the_day_2_240                  0.374819   
gpt2-101_run3-c                                            0.344329   

                                                    gpt2-701_run1-c  \
gpt2-901_run3-c                                            0.381138   
gpt2-011_run3-c                                            0.418052   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.392596   
gpt2-011_run4-c                                            0.331855   
gpt2-401_run2-c                                            0.408560   
gpt2-401_run1-c                                            0.293794   
sample_m25c_kristy_and_the_middle_school_vandal...         0.242387   
gpt2-401_run3-c                                            0.300116   
sample_004c_mary_anne_saves_the_day_2_240                  0.315722   
gpt2-101_run3-c                                            0.299427   

                                                    gpt2-701_run2-c  \
gpt2-901_run3-c                                            0.355674   
gpt2-011_run3-c                                            0.344757   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.366385   
gpt2-011_run4-c                                            0.276099   
gpt2-401_run2-c                                            0.378604   
gpt2-401_run1-c                                            0.324453   
sample_m25c_kristy_and_the_middle_school_vandal...         0.241974   
gpt2-401_run3-c                                            0.290522   
sample_004c_mary_anne_saves_the_day_2_240                  0.297275   
gpt2-101_run3-c                                            0.269754   

                                                    gpt2-701_run3-c  \
gpt2-901_run3-c                                            0.333938   
gpt2-011_run3-c                                            0.333525   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.379987   
gpt2-011_run4-c                                            0.328041   
gpt2-401_run2-c                                            0.356014   
gpt2-401_run1-c                                            0.378446   
sample_m25c_kristy_and_the_middle_school_vandal...         0.331440   
gpt2-401_run3-c                                            0.367773   
sample_004c_mary_anne_saves_the_day_2_240                  0.259706   
gpt2-101_run3-c                                            0.207221   

                                                    gpt2-701_run4-c  \
gpt2-901_run3-c                                            0.386207   
gpt2-011_run3-c                                            0.376386   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.330415   
gpt2-011_run4-c                                            0.326229   
gpt2-401_run2-c                                            0.351113   
gpt2-401_run1-c                                            0.340491   
sample_m25c_kristy_and_the_middle_school_vandal...         0.275699   
gpt2-401_run3-c                                            0.262236   
sample_004c_mary_anne_saves_the_day_2_240                  0.257581   
gpt2-101_run3-c                                            0.343292   

                                                    gpt2-701_run5-c  \
gpt2-901_run3-c                                            0.407188   
gpt2-011_run3-c                                            0.423251   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.376923   
gpt2-011_run4-c                                            0.335980   
gpt2-401_run2-c                                            0.387039   
gpt2-401_run1-c                                            0.338458   
sample_m25c_kristy_and_the_middle_school_vandal...         0.310468   
gpt2-401_run3-c                                            0.317765   
sample_004c_mary_anne_saves_the_day_2_240                  0.309407   
gpt2-101_run3-c                                            0.285361   

                                                    gpt2-801_run1-c  \
gpt2-901_run3-c                                            0.420979   
gpt2-011_run3-c                                            0.426888   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.378315   
gpt2-011_run4-c                                            0.336779   
gpt2-401_run2-c                                            0.363720   
gpt2-401_run1-c                                            0.332344   
sample_m25c_kristy_and_the_middle_school_vandal...         0.315117   
gpt2-401_run3-c                                            0.324769   
sample_004c_mary_anne_saves_the_day_2_240                  0.305001   
gpt2-101_run3-c                                            0.279941   

                                                    gpt2-801_run2-c  \
gpt2-901_run3-c                                            0.449663   
gpt2-011_run3-c                                            0.457171   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.384730   
gpt2-011_run4-c                                            0.320772   
gpt2-401_run2-c                                            0.376440   
gpt2-401_run1-c                                            0.333129   
sample_m25c_kristy_and_the_middle_school_vandal...         0.310879   
gpt2-401_run3-c                                            0.294283   
sample_004c_mary_anne_saves_the_day_2_240                  0.357331   
gpt2-101_run3-c                                            0.271524   

                                                    gpt2-801_run3-c  \
gpt2-901_run3-c                                            0.402270   
gpt2-011_run3-c                                            0.345132   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.417195   
gpt2-011_run4-c                                            0.275723   
gpt2-401_run2-c                                            0.434311   
gpt2-401_run1-c                                            0.442490   
sample_m25c_kristy_and_the_middle_school_vandal...         0.364468   
gpt2-401_run3-c                                            0.406116   
sample_004c_mary_anne_saves_the_day_2_240                  0.317786   
gpt2-101_run3-c                                            0.189990   

                                                    gpt2-801_run4-c  \
gpt2-901_run3-c                                            0.497899   
gpt2-011_run3-c                                            0.464251   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.429252   
gpt2-011_run4-c                                            0.403829   
gpt2-401_run2-c                                            0.349646   
gpt2-401_run1-c                                            0.403772   
sample_m25c_kristy_and_the_middle_school_vandal...         0.396068   
gpt2-401_run3-c                                            0.357754   
sample_004c_mary_anne_saves_the_day_2_240                  0.360551   
gpt2-101_run3-c                                            0.364647   

                                                    gpt2-801_run5-c  \
gpt2-901_run3-c                                            0.429266   
gpt2-011_run3-c                                            0.419932   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.400739   
gpt2-011_run4-c                                            0.315979   
gpt2-401_run2-c                                            0.367109   
gpt2-401_run1-c                                            0.348605   
sample_m25c_kristy_and_the_middle_school_vandal...         0.348232   
gpt2-401_run3-c                                            0.328787   
sample_004c_mary_anne_saves_the_day_2_240                  0.324444   
gpt2-101_run3-c                                            0.268270   

                                                    gpt2-901_run1-c  \
gpt2-901_run3-c                                            0.333436   
gpt2-011_run3-c                                            0.364835   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.324460   
gpt2-011_run4-c                                            0.286606   
gpt2-401_run2-c                                            0.318627   
gpt2-401_run1-c                                            0.283022   
sample_m25c_kristy_and_the_middle_school_vandal...         0.232059   
gpt2-401_run3-c                                            0.254298   
sample_004c_mary_anne_saves_the_day_2_240                  0.288206   
gpt2-101_run3-c                                            0.293015   

                                                    gpt2-901_run2-c  \
gpt2-901_run3-c                                            0.407318   
gpt2-011_run3-c                                            0.402296   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.301268   
gpt2-011_run4-c                                            0.330455   
gpt2-401_run2-c                                            0.344174   
gpt2-401_run1-c                                            0.230402   
sample_m25c_kristy_and_the_middle_school_vandal...         0.242713   
gpt2-401_run3-c                                            0.293242   
sample_004c_mary_anne_saves_the_day_2_240                  0.260296   
gpt2-101_run3-c                                            0.349461   

                                                    gpt2-901_run3-c  \
gpt2-901_run3-c                                            0.000000   
gpt2-011_run3-c                                            0.430473   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.447857   
gpt2-011_run4-c                                            0.402222   
gpt2-401_run2-c                                            0.353900   
gpt2-401_run1-c                                            0.414374   
sample_m25c_kristy_and_the_middle_school_vandal...         0.362717   
gpt2-401_run3-c                                            0.400433   
sample_004c_mary_anne_saves_the_day_2_240                  0.320637   
gpt2-101_run3-c                                            0.445145   

                                                    gpt2-901_run4-c  \
gpt2-901_run3-c                                            0.359791   
gpt2-011_run3-c                                            0.417648   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.405182   
gpt2-011_run4-c                                            0.374005   
gpt2-401_run2-c                                            0.313634   
gpt2-401_run1-c                                            0.350096   
sample_m25c_kristy_and_the_middle_school_vandal...         0.313639   
gpt2-401_run3-c                                            0.276117   
sample_004c_mary_anne_saves_the_day_2_240                  0.289165   
gpt2-101_run3-c                                            0.345519   

                                                    gpt2-901_run5-c  \
gpt2-901_run3-c                                            0.368614   
gpt2-011_run3-c                                            0.342530   
sample_m36c_kristy_and_the_cat_burglar_2_748               0.313934   
gpt2-011_run4-c                                            0.302824   
gpt2-401_run2-c                                            0.329483   
gpt2-401_run1-c                                            0.298944   
sample_m25c_kristy_and_the_middle_school_vandal...         0.270179   
gpt2-401_run3-c                                            0.271864   
sample_004c_mary_anne_saves_the_day_2_240                  0.235000   
gpt2-101_run3-c                                            0.241440   

                                                    sample_004c_mary_anne_saves_the_day_2_240  \
gpt2-901_run3-c                                                                      0.320637   
gpt2-011_run3-c                                                                      0.367020   
sample_m36c_kristy_and_the_cat_burglar_2_748                                         0.302063   
gpt2-011_run4-c                                                                      0.348291   
gpt2-401_run2-c                                                                      0.330729   
gpt2-401_run1-c                                                                      0.281618   
sample_m25c_kristy_and_the_middle_school_vandal...                                   0.220285   
gpt2-401_run3-c                                                                      0.313532   
sample_004c_mary_anne_saves_the_day_2_240                                            0.000000   
gpt2-101_run3-c                                                                      0.367748   

                                                    sample_005c_dawn_and_the_impossible_three_2_216  \
gpt2-901_run3-c                                                                            0.388717   
gpt2-011_run3-c                                                                            0.443260   
sample_m36c_kristy_and_the_cat_burglar_2_748                                               0.418210   
gpt2-011_run4-c                                                                            0.474338   
gpt2-401_run2-c                                                                            0.299858   
gpt2-401_run1-c                                                                            0.323173   
sample_m25c_kristy_and_the_middle_school_vandal...                                         0.375579   
gpt2-401_run3-c                                                                            0.367350   
sample_004c_mary_anne_saves_the_day_2_240                                                  0.268499   
gpt2-101_run3-c                                                                            0.418557   

                                                    sample_005c_dawn_and_the_impossible_three_2_432  \
gpt2-901_run3-c                                                                            0.340356   
gpt2-011_run3-c                                                                            0.401664   
sample_m36c_kristy_and_the_cat_burglar_2_748                                               0.418201   
gpt2-011_run4-c                                                                            0.436451   
gpt2-401_run2-c                                                                            0.287269   
gpt2-401_run1-c                                                                            0.338206   
sample_m25c_kristy_and_the_middle_school_vandal...                                         0.334223   
gpt2-401_run3-c                                                                            0.341737   
sample_004c_mary_anne_saves_the_day_2_240                                                  0.255810   
gpt2-101_run3-c                                                                            0.365369   

                                                    sample_006c_kristys_big_day_2_321  \
gpt2-901_run3-c                                                              0.355542   
gpt2-011_run3-c                                                              0.328233   
sample_m36c_kristy_and_the_cat_burglar_2_748                                 0.305022   
gpt2-011_run4-c                                                              0.279635   
gpt2-401_run2-c                                                              0.349204   
gpt2-401_run1-c                                                              0.294265   
sample_m25c_kristy_and_the_middle_school_vandal...                           0.240819   
gpt2-401_run3-c                                                              0.286745   
sample_004c_mary_anne_saves_the_day_2_240                                    0.270275   
gpt2-101_run3-c                                                              0.307801   

                                                    sample_006c_kristys_big_day_2_850  \
gpt2-901_run3-c                                                              0.407465   
gpt2-011_run3-c                                                              0.386187   
sample_m36c_kristy_and_the_cat_burglar_2_748                                 0.302368   
gpt2-011_run4-c                                                              0.337177   
gpt2-401_run2-c                                                              0.370228   
gpt2-401_run1-c                                                              0.305352   
sample_m25c_kristy_and_the_middle_school_vandal...                           0.294715   
gpt2-401_run3-c                                                              0.287630   
sample_004c_mary_anne_saves_the_day_2_240                                    0.285165   
